TEAM,PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Pheonix Suns,"
Devin Booker
",30:26,6,18,33.3,2,7,28.6,4,5,80.0,1,6,7,5,0,1,2,5,18,11
Pheonix Suns,"
Chris Paul
",33:52,5,12,41.7,1,5,20.0,4,6,66.7,1,7,8,12,3,0,1,2,15,18
Pheonix Suns,"
Jock Landale",16:27,2,6,33.3,0,4,0.0,0,0,0.0,0,1,1,1,0,1,0,4,4,-4
Pheonix Suns,"
Torrey Craig",11:41,1,2,50.0,1,2,50.0,1,2,50.0,1,3,4,1,0,0,0,3,4,-12
Pheonix Suns,"
Cameron Payne",14:08,3,8,37.5,2,5,40.0,0,0,0.0,0,2,2,2,1,0,2,1,8,-9
Pheonix Suns,"
Landry Shamet",16:51,2,8,25.0,2,5,40.0,2,2,100,0,0,0,0,0,0,1,0,8,-6
Pheonix Suns,"
Damion Lee",10:17,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-1
Pheonix Suns,"
Dario Saric",5:01,1,1,100,1,1,100,0,0,0.0,1,2,3,1,1,0,0,1,3,0
Pheonix Suns,"
Mikal Bridges
",37:44,4,9,44.4,2,3,66.7,2,2,100,0,5,5,2,2,0,1,2,12,7
Pheonix Suns,"
Cameron Johnson
",5:14,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,8
Pheonix Suns,"
Deandre Ayton
",29:30,10,14,71.4,2,2,100,2,2,100,4,4,8,1,0,0,4,5,24,3
Pheonix Suns,"
Devin Booker
",38:22,8,21,38.1,3,7,42.9,6,6,100,0,5,5,5,1,1,5,3,25,3
Pheonix Suns,"
Chris Paul
",33:48,1,4,25.0,1,3,33.3,4,4,100,0,2,2,11,2,1,0,2,7,4
Pheonix Suns,"
Torrey Craig",23:05,3,7,42.9,1,4,25.0,1,2,50.0,2,4,6,2,0,0,0,3,8,-4
